Gene	Trait	CellType	Tissue
APP:BIN1:JMJD1C:MEF2A:NEGR1:NTM:PDE4B:PDE4D:PICALM:SORL1:SYT1:WAC	Alzheimers_Jansen_2018	Microglia	DER22
ACTN4:ADD1:ANXA6:CKB:KIAA0930:KIF5A:MAP1LC3A:MAPT:MEF2C:NLK:NSF:PKM:RORA:YWHAG	Amyotrophic-Lateral-Sclerosis_van-Rheenen_2016	Ex9	DER22
ANKS1B:ATXN1:BPTF:CADM2:CDK14:DENND1A:FOXO3:GRID2:LDB2:MAGI2:MSRA:NCKAP1:PAM:PLEKHA5:POGZ:RBFOX1:SYN2:TANC2:TCF4:WASF1:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	Ex2	DER22
ANKS1B:CADM2:ELAVL4:GABARAPL2:GRID2:LDB2:MAGI2:NCKAP1:PAM:SSBP2:STAG1:SYN2:TCF4:TRIM33:WASF1:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	Ex4	DER22
ANKS1B:APC:BPTF:CADM2:DENND1A:EIF4G3:ELAVL4:GABARAPL2:GRID2:KCNC2:MAGI2:MSRA:NCKAP1:PAM:PLEKHA5:RBFOX1:RBFOX2:SYN2:TANC2:TCF4:WASF1:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	Ex5b	DER22
AGBL4:ANKS1B:BPTF:CADM2:CUX1:DENND1A:EIF4G3:GRID2:LDB2:MAGI2:MAST3:MSRA:NCKAP1:PLEKHA5:POGZ:PPM1L:RBFOX1:RBFOX2:SSBP2:SYN2:TANC2:TCF4:TRIM33:WASF1:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	Ex8	DER22
ANK3:ANKS1B:CADM2:CDK14:CTBP1:DENND1A:FOXO3:NCKAP1:NFE2L1:PAM:PICALM:STAG1:SYN2:TANC2:TCF4:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In1a	DER22
ANK3:ANKS1B:BPTF:CADM2:CDK14:DENND1A:FOXO3:MEF2A:MSRA:NCKAP1:PAM:PBRM1:PICALM:PLEKHA5:RBFOX1:STAG1:SYN2:TANC2:TCF4:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In1b	DER22
ANKS1B:CADM2:CSDE1:ELAVL4:FBXL20:NCKAP1:NF1:PAM:RBFOX1:SEZ6L2:SSBP2:STAG1:SYN2:TANC2:TCF4:TRIM33:YPEL3:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In1c	DER22
ANKS1B:CADM2:CDK14:ELAVL4:GABARAPL2:GRID2:HECTD2:MAGI2:NCAM1:NCKAP1:NF1:PAM:PRKCB:RB1:RBFOX1:STAG1:SYN2:TANC2:TCF4:ZBTB16:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In4a	DER22
ANKS1B:APC:CACNA1C:CADM2:ELAVL4:GSK3B:NCKAP1:PAM:PRKCB:SSBP2:STAG1:SYN2:TAC1:TCF4:TRIM33:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In6b	DER22
ADAM10:AGBL4:ANKS1B:CADM2:CUX1:GRID2:MAGI2:NCKAP1:PAM:RBFOX1:SLAIN1:SYN2:TCF4:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In7	DER22
AGBL4:ANKS1B:BCL11A:BPTF:CADM2:CDH13:CUX1:ELAVL4:GRID2:MAGI2:NCKAP1:NFE2L1:PAM:PBRM1:PHF20L1:RBFOX1:SLTM:SSBP2:STAG1:SYN2:TCF4:TRIM33:WASF1:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In8	DER22
ANKS1B:APC:BPTF:CACNA2D1:CADM2:CDK14:FOXO3:GRID2:MAGI2:MSRA:PAM:RBFOX1:STAG1:TCF4:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	OPC	DER22
ANKS1B:BPTF:CACNA1C:CADM2:GNAI2:GRID2:HSPA1A:MAGI2:MSRA:PAM:PBRM1:PRKCB:STAG1:TCF4:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	Per	DER22
CADM1:DENND4A:FOXO1:JMJD1C:KTN1:MEF2C:MSI2:NAV3:NTM:RERE:RFTN2:RORA:RSF1:SOX5:TENM2:TGFB1	Asthma_Demenais_2017	Astro	DER22
ATXN1:HDAC9:HPCAL1:HSD17B4:JMJD1C:MEF2C:MSI2:NTM:RORA:ZBTB16	Asthma_Demenais_2017	In4b	DER22
BRAF:HDAC9:HSD17B4:JMJD1C:KTN1:MEF2A:MEF2C:MSI2:NTM:PHF20L1:RBMS1:RORA	Asthma_Demenais_2017	In6a	DER22
ATXN1:HDAC9:JMJD1C:MEF2A:MEF2C:NTM:RORA	Asthma_Demenais_2017	In7	DER22
ATXN1:BCL2:BRAF:CAMK4:CREBBP:EP300:EPC2:HDAC9:HSPA1A:JMJD1C:KTN1:MAML2:MEF2A:MEF2C:NDFIP1:NTM:RBPJ:RERE:RNF130:RORA:SNCA:UBE2D2:UBE2E2	Asthma_Demenais_2017	Microglia	DER22
ANK3:BACH2:BRAF:CUL3:FOXO3:JMJD1C:MEF2A:MEF2C:MSI2:NDFIP1:NTM:RORA:SGK1:SMAD3:SNCA:SOX5:UBE2E2	Asthma_Demenais_2017	OPC	DER22
ATXN1:BCL2:GOLGA2:HSPA1A:JMJD1C:KTN1:MEF2A:MEF2C:NTM:PHF20L1:RAD50:RBM25:RORA:SMAD3:ZEB1	Asthma_Demenais_2017	Per	DER22
CADM2:DNM1:GPM6A:IGF1R:JUN:KCNIP1:KIZ:MAPT:MEF2C:MEIS2:NCAN:NR3C1:PCDH9:POU2F1:PPP2R2B:PRKCA:PRKD1:SCFD1:SEMA3B:SOX5:TCF12:TEAD1	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Astro	DER22
ADD1:ATXN1:CALM1:CAPZA2:CUX1:EPAS1:FOXP1:GNAI2:GPM6A:IGF1R:IGFBP7:JMJD1C:JUN:LINGO1:MEF2C:NF1:NR3C1:PCDH9:PDE4D:PKP4:RBFOX1:RUNX1T1:TCF12	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Endo	DER22
ARHGAP32:ARHGEF7:ATRNL1:ATXN1:CAMKV:CDH8:CDH9:CTNNA2:CUX1:DOCK4:FAM13A:GPM6A:KIZ:MEF2C:MLIP:NF1:NR3C1:PBX1:PCDH7:PCDH9:PCMT1:PKP4:POU2F1:PPP2R2B:RBFOX1:RNF115:RUNX1T1:TCF12:ZFPM2	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex1	DER22
ABI2:ADGRL3:ARHGAP32:ATRNL1:ATXN1:CACNA2D1:CADM2:CAMKV:CDH8:CSMD3:CTNNA2:CUX1:DOCK4:FAM13A:GPM6A:HDAC4:HOMER1:MEF2C:NF1:NR3C1:PBX1:PCDH7:PCDH9:PCMT1:PIAS2:PKP4:POGZ:POU2F1:PPP2R2B:RAPH1:RBFOX1:RNF115:RUNX1T1:SOX5:TCF12	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex2	DER22
ATRNL1:CADM2:CAMKV:CDH8:CTNNA2:DOCK4:EIF5B:FAM13A:GPM6A:MEF2C:NR3C1:PCDH9:PKP4:POU2F1:RBFOX1:RNF115:RUNX1T1:TCF12	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex3e	DER22
ABI2:ARHGAP32:ATRNL1:ATXN1:ATXN2:CADM2:CAMKV:FAM13A:FOXP2:GPM6A:MAPT:MEF2C:NF1:NR3C1:PCDH9:POU2F1:RBFOX1:RUNX1T1	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex4	DER22
ABI2:AKAP6:ARHGAP32:ATRNL1:ATXN1:ATXN2:CADM2:CAMKV:CDH8:FAM13A:FOXP2:GPM6A:HDAC4:HIVEP3:IGF1R:MEF2C:NF1:NR3C1:PCDH7:PCDH9:PCMT1:PDE4D:PKP4:POGZ:POU2F1:PPP2R2B:PTPN1:RBFOX1:RUNX1T1:SORCS3:TCF4	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex5b	DER22
ABI2:ARHGAP32:ATXN1:CADM2:CDH8:CSRNP3:FOXP2:GHR:GPM6A:HDAC4:IGF1R:KCNIP1:MEF2C:MEIS2:NF1:NR3C1:PBX1:PCDH7:PCDH9:PCMT1:PKP4:POU2F1:PPP2R2B:RBFOX1:RBFOX2:RUNX1T1:TCF4:TSHZ2	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex6a	DER22
ABI2:ANK3:ARHGAP32:ATXN1:CDH8:CELF4:CTNNA2:DCLK1:FOXP2:GPM6A:HDAC4:HIVEP2:KIAA0930:KIZ:MEF2C:MEIS2:NF1:NR3C1:PBX1:PCDH7:PCDH9:PCMT1:PKP4:POU2F1:PPP2R2B:RBFOX1:SORCS3:YWHAG:ZFPM2	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex6b	DER22
AKAP6:ANK3:ARHGAP32:ATRNL1:ATXN1:CACNA2D1:CADM2:CADPS2:CALM1:CAMKV:CHRM3:CUX1:DCLK1:DOCK4:EFNA5:EIF5B:EPHA7:FAM13A:GPM6A:HDAC4:IGF1R:MAP2K1:MED27:MEF2C:NCOR1:NR3C1:PCDH7:PCDH9:PCMT1:PDE4D:PKP4:POU2F1:PPP2R2B:PTPN1:RBFOX1:RNF115:RUNX1T1:SCN2A:SEMA6D:SORCS3:SOX5:SRPK2:SRSF10:SRSF5:TCF4:TPM3:WDR12	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex8	DER22
ATXN1:CAMK2B:CDH8:DDX17:ERBB4:GPM6A:GRID2:MEF2C:NF1:NR3C1:PCDH7:PCDH9:PCMT1:PKP4:PPP2R2B:RAPGEF4:RBFOX1:RBFOX2:RBM6:SORCS3:TCF12:YWHAG	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In1a	DER22
ANK3:ATXN1:CACNA1D:CADM2:CDH8:ERBB4:GPM6A:GRID2:KCNIP1:MEF2C:NF1:NR3C1:PCDH7:PCDH9:RBFOX1:RBFOX2:SEMA6D:SORCS3:TCF12:TCF4	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In1b	DER22
ATXN1:AUTS2:CADM2:CSRNP3:CUX1:GPM6A:GRID2:KCNIP1:KCNT2:MEF2C:NF1:NR3C1:PBX1:PCDH7:PCDH9:PPP2R2B:RBFOX1:RBFOX2:RUNX1T1:SEMA6D:SORCS3:TCF12:TCF4:YWHAG	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In1c	DER22
ATXN1:AUTS2:CACNA1D:CADM2:CALN1:CUX1:FOXP1:GPM6A:KCNT2:MEF2C:NF1:NR3C1:PCDH7:PCDH9:RBFOX1:RBFOX2:RUNX1T1:SORCS3:TCF12:TCF4:ZFPM2	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In3	DER22
ATXN1:CACNA2D1:CADM2:GPM6A:MEF2C:NCAM1:NF1:POU2F1:RAPGEF4:RBFOX1:RBM6:SORCS3	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In4a	DER22
ARHGAP32:ATP1A3:ATXN1:ATXN2:CACNA2D1:CADM2:GPM6A:KCNIP1:MEF2C:NF1:NR3C1:PBX1:PCDH9:POGZ:POU2F1:RBFOX1:RBFOX2:SEMA6D:TCF12:TCF4	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In4b	DER22
ATRNL1:AUTS2:CADM2:CALN1:CUX1:GPM6A:MEF2C:NR3C1:PCDH9:PKP4:POU2F1:RBFOX1:SLC9A9:SMARCA2:TCF12	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In6a	DER22
ANKRD28:ARHGAP32:ARHGEF7:ATRNL1:ATXN1:AUTS2:CADM2:CELF4:CSRNP3:CUX1:GPM6A:GRID2:HDAC4:KCNIP1:KIZ:MEF2C:NR3C1:PBX1:PCDH7:PCDH9:POU2F1:RBFOX1:RUNX1T1:TCF12:TCF4:YWHAG	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In7	DER22
ARHGAP32:ATXN1:ATXN2:AUTS2:CDH8:CUX1:GPM6A:MEF2C:NF1:NR3C1:PCDH9:PCMT1:PKP4:POGZ:PPP2R2B:RBFOX1:RUNX1T1	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In8	DER22
ARHGAP32:ATXN1:CADM2:CDH8:FOXP1:FOXP2:GPM6A:KCNIP1:MAML3:MEF2C:NR3C1:PBX1:PCDH7:PCDH9:PKP4:POU2F1:PPP2R2B:RBFOX1:SLC9A9:TCF12:TCF4	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Microglia	DER22
ADD1:ANK3:ANKRD28:ATRNL1:ATXN1:CADM2:CSRNP3:DCC:ERBB4:FAM13A:GPM6A:KCNIP1:KIZ:MAP2K1:MEF2C:MEIS2:NCAM1:NR3C1:PBX1:PCDH7:PCDH9:PPP2R2B:RBFOX1:RUNX1T1:SCN2A:SLC9A9:SMARCC1:SORCS3:SOX5:SOX6:TCF12:TCF4:TNKS:ZFPM2	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	OPC	DER22
ADD1:ATRNL1:ATXN1:CADM2:CAPZA2:CELF4:DOCK4:EIF5B:GIGYF2:GPM6A:KCNIP1:MEF2C:NR3C1:PBX1:PCDH9:POGZ:POU2F1:PPFIBP1:RBFOX1:RNF115:RUNX1T1:SMARCA2:TANK:TCF12:TEAD1:TSPAN3	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Per	DER22
APP:ATP2B2:BRAF:CAMK2D:CAMK2G:CREB1:CTNND2:CUX1:DLG2:EVA1C:EXOC4:EXT1:FBXW7:FGFR1:FMNL2:GABBR1:GLUD1:GPC5:GRID2:GRIN2B:HPSE2:KCNMA1:LINGO1:MAGI2:MAP4:MAPT:ME1:MEIS2:MGAT4C:MSI2:NCOA1:NF1:NPL:NRG3:NTM:PCDH9:PON2:PPP2R2B:PRKCA:RIMKLB:RORA:SEC62:SIPA1L1:SLC1A2:SLC24A3:SLC6A11:SORBS1:SRP9:SRPK2:STK3:TAOK3:TLE1	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	Astro	DER22
ARHGEF7:ATP2B2:DCLK1:EXOC4:FBXW7:GRID2:GRIN2B:KCNMA1:MAGI2:MAPT:NF1:NRGN:OLFM1:PPP3CA:PRKCA:PRKCB:SORBS1:TFDP2:TSC22D1	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	Ex1	DER22
ANK3:CALM3:DCLK1:DLG2:EXOC4:FBXW7:FGFR1:GHR:GRIN2B:HS3ST4:KCNMA1:MGAT4C:NF1:NRG3:OPCML:PIK3R1:PREPL:PRKCA:SGIP1:SRPK2	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	Ex6a	DER22
ATXN1:DCLK1:EXOC4:GRID2:GRIN2B:LUC7L3:MAPT:MGAT4C:NF1:NTN4:PBX1:PRKCA:RAPGEF4:ROBO1:ROBO2:TFDP2	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	In1a	DER22
DCLK1:EXOC4:GRIN2B:KCNMA1:MAPT:NCALD:NF1:PRKCA:RAPGEF4:SIPA1L1:SORBS1:TSC22D1	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	In6b	DER22
APP:DCLK1:GRID2:KCNMA1:MAGI2:MGAT4C:NF1:NTN4:PRKCA:RAPGEF2:RAPGEF4:ROBO1:ROBO2:SEC62	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	In7	DER22
DCLK1:EXOC4:GRID2:GRIN2B:KCNMA1:MAPT:MGAT4C:NCALD:NF1:NTN4:PRKCA:RAPGEF4:ROBO1:ROBO2:RORA:SLC24A3	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	In8	DER22
CUX1:FBXW7:FMNL2:GNAQ:GRID2:HS3ST4:KCNMA1:MBNL1:MED13L:NF1:NRG3:PRKCA:PRKCB:SLC9A9	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	Microglia	DER22
DSCAM:EPN2:FGFR1:FMNL2:GRID2:HNRNPU:KCNMA1:KMT2E:MAGI2:MAPT:MSI2:NCALD:NF1:NOS1:NRG3:NTM:OPCML:PIK3R1:POU2F1:PPP2R2B:PPP3CA:PRKCA:RAPGEF2:RAPGEF4:RBFOX2:ROBO1:SEC62:SGIP1:SHC3:SLC1A2:SLC24A3:SRPK2:SRSF2:TAOK3:TSC22D1:TUBA1B	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	OPC	DER22
ADD3:APOE:ASPH:BRAF:CACNA1C:CACNB2:CKB:GRIN2A:MACF1:MAP1LC3A:MAPK1:MAPK10:MSI2:NKAIN2:PDE4D:PRKCA:PRKD1:QKI:RGS7:RIMS1:SFPQ:SLC1A3:SRRM2:SSBP2:SYNE1:TCF12:TRPM3	Bipolar-Disorder_Stahl_2018	Astro	DER22
AKT3:ANKS1B:ASIC2:ATF2:ATP1B3:ATP2B2:ATXN1:BRAF:BTBD9:CABP1:CACNA1B:CACNA1C:CACNA1D:CACNB2:CADPS:CAMK2B:CREB1:DLGAP2:FAF1:FGF12:GGT7:GRIA4:GRIN2A:GRIN2B:GRM5:HOMER1:KCNB1:KCNQ2:KMT2E:MAP2:MAP2K4:MAPK1:MAPK10:MEF2A:MYH10:NEDD4L:NKAIN2:PACS1:PDE4D:PRKCA:RBFOX1:RGS7:RIMS1:RYR2:SCN2A:SCN3A:SLC1A1:SLC20A2:SLC4A10:SMARCA2:SNAP91:SORBS2:STK4:SYNE1:SYT1:TMEM108:UBE2E3:VPS45:YJEFN3:YWHAG:ZMYND11	Bipolar-Disorder_Stahl_2018	Ex1	DER22
ADGRL3:AKT3:ANKS1B:ASIC2:ATP1B1:ATP1B3:ATP2B2:BRAF:BTBD9:CABP1:CACNA1C:CACNA1D:CACNB2:CADPS:CERS6:CREB1:DST:FAF1:FGF12:GABRA1:GGT7:GRIA4:GRIN2A:GRIN2B:GRM5:HOMER1:IGF1R:ITCH:KIAA1211L:MAP2:MAPK10:MEF2A:MYH10:NEDD4L:NKAIN2:NRG1:PACS1:PLCL1:PRKCA:PRKCB:PTPRT:RBFOX1:RGS7:RIMS1:RSRP1:RTN4:RYR2:SCN2A:SCN3A:SLC20A2:SLC24A2:SLC4A10:SLC4A8:SNAP91:SRPK2:SYNE1:SYT1:TCF12:TMEM108:TRPC1:ZFAND3	Bipolar-Disorder_Stahl_2018	Ex2	DER22
ADGRB3:ANKS1B:ATP2B2:CACNA1C:FGF12:GABRA1:GRIN2A:MAPK1:MEF2A:NKAIN2:RBFOX1:SCN2A:SLC4A10:SNAP91:SYNE1:SYT1	Bipolar-Disorder_Stahl_2018	Ex3e	DER22
ANKS1B:ASPH:ATP2B2:BTBD9:CACNA1C:CACNA1D:CACNB2:FAF1:FGF12:GABRA1:GABRA4:GRIN2A:KCNQ2:KIAA1211L:MAP2:MEF2A:MXI1:NEDD4L:NKAIN2:PACS1:PLCL1:PRKCB:RIMS1:SCN2A:SCN3A:SLC24A2:SLC4A10:SYNE1:SYT4:UBE2E3:VPS45	Bipolar-Disorder_Stahl_2018	Ex4	DER22
ANKS1B:ATP2B2:CACNA1C:CACNA1D:CACNB2:FGF12:GABRA1:GABRG3:GRIN2A:HOMER1:KIAA1211L:MEF2A:NKAIN2:NRG1:PACS1:PRKCB:RBFOX1:RIMS1:RYR2:SCN1A:SCN2A:SCN3A:SLC24A2:SLC4A10:SLC8A1:SNAP91:SYNE1:SYT1:TMEM108	Bipolar-Disorder_Stahl_2018	Ex5b	DER22
BRAF:CACNA1C:CACNA1D:CADPS:FGF12:FGFR1:GABRA1:GRIN2A:MAPK1:NKAIN2:PDE4D:PRKCA:RIMS1:SCN2A:SLC24A2:SLC4A10:SYNE1	Bipolar-Disorder_Stahl_2018	Ex6a	DER22
ADGRL3:ANKS1B:ASIC2:CACNA1B:CACNA1C:CACNA1D:CACNB2:FGF12:GRIN2A:HLF:KCNB1:KIAA1211L:MAPK1:MEF2A:NEDD4L:NKAIN2:PDE4D:RBFOX1:SCN2A:SCN3A:SLC24A2:SLC4A10:SSBP2:SYNE1:TCF12:TMEM108:TRPM3	Bipolar-Disorder_Stahl_2018	Ex6b	DER22
ANKS1B:ASIC2:ATXN1:BRAF:CA10:CACNA1B:CACNA1C:CACNA1D:CACNB2:CADPS:DNM2:FGF12:GRIN2A:HLF:ITCH:KCNB1:KIAA1211L:MAP2:MAPK10:MEF2A:MXI1:NEDD4L:NKAIN2:NRG1:PACS1:PDE4D:PIGU:PRKD1:RBFOX1:RIMS1:RIT2:SCN1A:SCN2A:SCN3A:SLC24A2:SLC4A10:SYNE1:SYT4:VPS45	Bipolar-Disorder_Stahl_2018	Ex8	DER22
ADGRB3:ANKS1B:ASIC2:ATP1B1:CACNA1B:CACNA1C:CACNA1D:CACNB2:CADPS:FGF12:GABRA1:GABRG2:GRIN2A:GRIN2B:GRM5:KCNQ2:MACF1:MEF2A:NKAIN2:PRKCA:RGS7:RIMS1:SCN2A:SCN3A:SLC4A10:SLC8A1:SSBP2:SYNE1:TCF12	Bipolar-Disorder_Stahl_2018	In1a	DER22
ADD3:AKT3:ANKS1B:ASIC2:ATP1B1:ATXN1:BRAF:CACNA1B:CACNA1C:CACNA1D:CACNB2:CAMK2B:DST:FGF12:GRIN2A:GRIN2B:KCNC2:MAPK1:MAPK10:MEF2A:NKAIN2:PDE4D:PRKCA:QKI:RBFOX1:RGS7:RIMS1:SLC4A10:SYNE1:TMEM108	Bipolar-Disorder_Stahl_2018	In1b	DER22
